Contrast Feature,Dissimilarity Feature,Homogeneity Feature,Energy Feature,Correlation Feature,ASM Feature,diagnostic
Low,Low,High,Medium,High,High,5
Low,High,High,Medium,Low,Medium,5
High,High,Medium,High,Medium,Medium,5
High,Medium,Medium,High,Medium,Low,5
High,High,High,Medium,Low,Medium,5
Low,Low,High,Medium,High,Medium,5
High,High,Medium,High,Medium,Medium,5
High,Medium,Medium,High,Medium,Low,5
High,Medium,High,Medium,High,Medium,3
High,High,High,Medium,Medium,High,5
Low,High,High,Medium,Low,Medium,5
Medium,Medium,Medium,High,Medium,Low,1
High,High,High,High,Low,Medium,1
Low,Low,High,High,Medium,Low,3
