'Contrast Feature','Dissimilarity Feature','Homogeneity Feature','Energy Feature','Correlation Feature','ASM Feature',diagnostic
Low,Medium,Medium,Medium,Low,High,5
High,Medium,High,Low,High,Low,5
High,High,High,Low,Medium,Low,4
High,Medium,Medium,Medium,Low,High,5
High,Medium,Medium,Medium,High,Medium,5
High,Medium,High,Low,High,Low,5
Low,Low,Medium,Medium,Medium,Medium,5
Low,Medium,Medium,Medium,Low,High,5
High,Medium,Medium,High,Medium,Low,1
High,Medium,High,Low,High,High,5
High,Medium,Medium,Low,Low,High,1
Medium,High,High,Low,High,Low,1
